SEASON	RANK	TEAM	HOME GAMES	Home Attendance	HOME WINS	HOME LOSSES	HOME OTS	ROAD GAMES	 ROAD ATTENDANCE 	TOTAL GAMES	 TOTAL ATTENDANCE 
2014-15	26	New Jersey	41	622783	19	14	8	41	707537	82	1330320
2014-15	19	Dallas	41	711359	17	16	8	41	722297	82	1433656
2014-15	3	Detroit	41	821107	22	10	9	41	731727	82	1552834
2014-15	9	Tampa Bay	41	771761	32	8	1	41	715573	82	1487334
2014-15	21	Nashville	41	691028	28	9	4	41	697246	82	1388274
2014-15	2	Montréal	41	872752	26	9	6	41	725700	82	1598452
2014-15	15	Los Angeles	41	748893	25	9	7	41	761493	82	1510386
2015-16	15	Dallas	41	753452	28	11	2	41	708234	82	1461686
2015-16	21	Edmonton	41	690499	19	20	2	41	720124	82	1410623
2015-16	16	Los Angeles	41	749234	26	12	3	41	707988	82	1457222
2015-16	8	Tampa Bay	41	782772	25	13	3	41	702658	82	1485430
2015-16	2	Montréal	41	872808	22	16	3	41	780066	82	1652874
2015-16	22	San Jose	41	686623	18	20	3	41	711063	82	1397686
2015-16	18	NY Rangers	41	738246	27	10	4	41	741444	82	1479690
2015-16	1	Chicago	41	896240	26	11	4	41	774572	82	1670812
2015-16	11	Pittsburgh	41	760584	26	11	4	41	737385	82	1497969
2015-16	13	St. Louis	41	756483	24	13	4	41	715614	82	1472097
2015-16	29	Arizona	41	550763	22	15	4	41	701100	82	1251863
2015-16	7	Calgary	41	784974	21	16	4	41	691424	82	1476398
2015-16	4	Minnesota	41	812907	21	16	4	41	712908	82	1525815
2015-16	25	Winnipeg	41	627054	18	19	4	41	721805	82	1348859
2015-16	19	Colorado	41	698327	17	20	4	41	716680	82	1415007
2015-16	24	Florida	41	630746	25	11	5	41	705077	82	1335823
2015-16	28	NY Islanders	41	558705	25	11	5	41	716352	82	1275057
2015-16	26	New Jersey	41	618029	19	17	5	41	701920	82	1319949
2015-16	14	Vancouver	41	755677	15	21	5	41	707824	82	1463501
2015-16	23	Anaheim	41	669805	25	10	6	41	708275	82	1378080
2015-16	3	Detroit	41	821107	22	13	6	41	762805	82	1583912
2015-16	17	Ottawa	41	741472	21	14	6	41	710202	82	1451674
2015-16	27	Columbus	41	601293	18	17	6	41	712334	82	1313627
2015-16	9	Boston	41	769846	17	18	6	41	739230	82	1509076
2015-16	10	Buffalo	41	762223	16	19	6	41	707701	82	1469924
2015-16	20	Nashville	41	695828	23	11	7	41	717336	82	1413164
2015-16	30	Carolina	41	500363	19	15	7	41	722010	82	1222373
2015-16	5	Philadelphia	41	788319	23	10	8	41	713933	82	1502252
2015-16	6	Toronto	41	785485	14	18	9	41	730169	82	1515654
2015-16	12	Washington	41	758944	29	8	4	41	719960	82	1478904
2016-17	10	Calgary	41	767829	24	17	0	41	704995	82	1472824
2016-17	23	Columbus	41	650157	28	12	1	41	700608	82	1350765
2016-17	18	Boston	41	720165	23	17	1	41	731235	82	1451400
2016-17	24	Winnipeg	41	645004	22	18	1	41	722912	82	1367916
2016-17	9	Minnesota	41	781879	27	12	2	41	720534	82	1502413
2016-17	14	Los Angeles	41	747858	23	16	2	41	708849	82	1456707
2016-17	25	Colorado	41	608252	13	26	2	41	714056	82	1322308
2016-17	26	Florida	41	599447	19	19	3	41	720001	82	1319448
2016-17	19	San Jose	41	717833	26	11	4	41	689825	82	1407658
2016-17	13	Edmonton	41	752227	25	12	4	41	731235	82	1483462
2016-17	8	Tampa Bay	41	782772	23	14	4	41	703109	82	1485881
2016-17	17	NY Rangers	41	738828	21	16	4	41	733695	82	1472523
2016-17	1	Chicago	41	891827	26	10	5	41	761985	82	1653812
2016-17	6	Philadelphia	41	805408	25	11	5	41	761329	82	1566737
2016-17	2	Montréal	41	872808	24	12	5	41	713892	82	1586700
2016-17	7	St. Louis	41	801127	24	12	5	41	704626	82	1505753
2016-17	29	Arizona	41	536878	18	18	5	41	709710	82	1246588
2016-17	30	Carolina	41	482829	23	12	6	41	702002	82	1184831
2016-17	16	Dallas	41	742163	22	13	6	41	725126	82	1467289
2016-17	15	Buffalo	41	743819	20	15	6	41	706635	82	1450454
2016-17	11	Vancouver	41	758891	18	17	6	41	701018	82	1459909
2016-17	28	NY Islanders	41	537149	22	12	7	41	717951	82	1255100
2016-17	5	Toronto	41	809519	21	13	7	41	713113	82	1522632
2016-17	3	Detroit	41	821107	17	17	7	41	754523	82	1575630
2016-17	21	Ottawa	41	686534	22	11	8	41	712949	82	1399483
2016-17	27	New Jersey	41	597261	16	17	8	41	705569	82	1302830
2016-17	12	Washington	41	758746	32	7	2	41	707783	82	1466529
2016-17	4	Pittsburgh	41	810273	31	6	4	41	731563	82	1541836
2016-17	22	Anaheim	41	653632	29	8	4	41	712908	82	1366540
2016-17	20	Nashville	41	703555	24	9	8	41	701469	82	1405024
2017-18	12	St. Louis	41	752624	24	17	0	41	717828	82	1470452
2017-18	6	Tampa Bay	41	782772	29	10	2	41	701674	82	1484446
2017-18	5	Toronto	41	786677	29	10	2	41	751940	82	1538617
2017-18	17	Vegas	41	739740	29	10	2	41	732793	82	1472533
2017-18	25	Colorado	41	639063	28	11	2	41	724634	82	1363697
2017-18	9	Washington	41	769756	28	11	2	41	701059	82	1470815
2017-18	28	Florida	41	567897	27	11	3	41	696139	82	1264036
2017-18	22	Columbus	41	683034	26	12	3	41	697287	82	1380321
2017-18	15	Dallas	41	742511	26	12	3	41	687734	82	1430245
2017-18	20	San Jose	41	711988	25	13	3	41	709136	82	1421124
2017-18	14	Los Angeles	41	747845	23	15	3	41	712252	82	1460097
2017-18	30	Arizona	41	534670	16	21	4	41	715901	82	1250571
2017-18	27	New Jersey	41	623240	23	14	4	41	715655	82	1338895
2017-18	18	NY Rangers	41	731899	21	16	4	41	744519	82	1476418
2017-18	13	Edmonton	41	752227	19	18	4	41	730374	82	1482601
2017-18	31	NY Islanders	41	492086	19	18	4	41	722584	82	1214670
2017-18	8	Calgary	41	775105	17	20	4	41	700854	82	1475959
2017-18	23	Anaheim	41	682060	26	10	5	41	710284	82	1392344
2017-18	1	Chicago	41	887794	18	18	5	41	723773	82	1611567
2017-18	11	Buffalo	41	761104	11	25	5	41	712785	82	1473889
2017-18	24	Ottawa	41	648996	16	19	6	41	706799	82	1355795
2017-18	3	Philadelphia	41	800214	22	13	6	41	702781	82	1502995
2017-18	29	Carolina	41	546142	19	16	6	41	703396	82	1249538
2017-18	16	Vancouver	41	741233	16	18	7	41	697820	82	1439053
2017-18	2	Montréal	41	873283	18	14	9	41	733736	82	1607019
2017-18	4	Detroit	41	800115	16	16	9	41	717295	82	1517410
2017-18	26	Winnipeg	41	628161	32	7	2	41	713810	82	1341971
2017-18	10	Pittsburgh	41	761764	30	9	2	41	732793	82	1494557
2017-18	21	Nashville	41	709597	28	9	4	41	711391	82	1420988
2017-18	19	Boston	41	720165	28	8	5	41	722092	82	1442257
2017-18	7	Minnesota	41	780501	27	6	8	41	722461	82	1502962
