,channel,instrument
61,0.0,Acoustic Guitar (nylon)
844,1.0,Acoustic Grand Piano
2757,2.0,Acoustic Grand Piano
3314,3.0,Acoustic Guitar (nylon)
8065,4.0,Acoustic Bass
8604,5.0,Electric Guitar (jazz)
