,channel,instrument
13,0.0,Overdriven Guitar
14,1.0,Overdriven Guitar
1523,2.0,Distortion Guitar
1524,3.0,Distortion Guitar
2198,4.0,Electric Bass (pick)
2199,5.0,Electric Bass (pick)
3126,9.0,Acoustic Grand Piano
