,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
59,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,48000,50.0,480,0.0_12.0
60,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,48000,50.0,480,0.0_12.0
61,0.0,,,,,,45.0,,,,,240,note_off,,80.0,45.0,80.0,48240,50.25,480,0.0_12.0
62,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,48240,50.25,480,0.0_12.0
63,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,48240,50.25,480,0.0_12.0
64,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,48240,50.25,480,0.0_12.0
65,0.0,,,,,,45.0,,,,,240,note_off,,80.0,45.0,80.0,48480,50.5,480,0.0_12.0
66,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,48480,50.5,480,0.0_12.0
67,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,48480,50.5,480,0.0_12.0
68,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,48480,50.5,480,0.0_12.0
69,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,48480,50.5,480,0.0_12.0
70,0.0,,,,,,52.0,,,,,240,note_off,,80.0,52.0,80.0,48720,50.75,480,0.0_12.0
71,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,48720,50.75,480,0.0_12.0
72,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,48720,50.75,480,0.0_12.0
73,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,48720,50.75,480,0.0_12.0
74,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,48720,50.75,480,0.0_12.0
75,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,48720,50.75,480,0.0_12.0
76,0.0,,,,,,52.0,,,,,240,note_off,,80.0,52.0,80.0,48960,51.0,480,0.0_12.0
77,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,48960,51.0,480,0.0_12.0
78,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,48960,51.0,480,0.0_12.0
