,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds
0,,,,,,,,,,,631578.0,,0,set_tempo,,,,,0,0.0
1,,,,,,,,,,,,,0,track_name,,,,,0,0.0
2,,9.0,,4.0,,163.0,,4.0,,,,,0,time_signature,,,,,0,0.0
3,,,,,,,,,,,,Intro,0,marker,,,,,0,0.0
4,,,,,,,,,,,,Verse,17280,marker,,,,,17280,18.0
5,,,,,,,,,,,,Chorus,15360,marker,,,,,32640,34.0
6,,,,,,,,,,,,Keyboard solo...,15360,marker,,,,,48000,50.0
7,,,,,,,,,,,,Verse,11520,marker,,,,,59520,62.0
8,,,,,,,,,,,,Chorus,15360,marker,,,,,74880,78.0
9,,,,,,,,,,,,Break,15360,marker,,,,,90240,94.0
10,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,97920,102.0
11,,,,,,,,,,,,Verse,7680,marker,,,,,105600,110.0
12,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,113280,118.0
13,,,,,,,,,,,,Verse£,3840,marker,,,,,117120,122.0
14,,,,,,,,,,,,Chorus,7680,marker,,,,,124800,130.0
15,,,,,,,,,,,,Guitar solo,15360,marker,,,,,140160,146.0
16,,,,,,,,,,,,Chorus x2,26880,marker,,,,,167040,174.0
17,,,,,,,,,,,,,0,end_of_track,,,,,167040,174.0
18,,,,,Track 1,,,,,,,,0,track_name,,,,,167040,174.0
19,1.0,,100.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
20,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
21,1.0,,6.0,,,,,,,,,,0,control_change,12.0,,,,167040,174.0
22,1.0,,,,,,,,0.0,,,,0,pitchwheel,,,,,167040,174.0
23,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
24,1.0,,100.0,,,,,,,,,,0,control_change,1.0,,,,167040,174.0
25,1.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
26,1.0,,38.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
27,1.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
28,1.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
29,0.0,,100.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
30,0.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
31,0.0,,6.0,,,,,,,,,,0,control_change,12.0,,,,167040,174.0
32,0.0,,,,,,,,0.0,,,,0,pitchwheel,,,,,167040,174.0
33,0.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
34,0.0,,100.0,,,,,,,,,,0,control_change,1.0,,,,167040,174.0
35,0.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
36,0.0,,38.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
37,0.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
38,0.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
39,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
40,1.0,,100.0,,,,,,,,,,0,control_change,2.0,,,,167040,174.0
41,1.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
42,1.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
43,1.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
44,0.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
45,0.0,,100.0,,,,,,,,,,0,control_change,2.0,,,,167040,174.0
46,0.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
47,0.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
48,0.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
49,1.0,,,,,,,,,30.0,,,0,program_change,,,,,167040,174.0
50,0.0,,,,,,,,,30.0,,,0,program_change,,,,,167040,174.0
51,1.0,,0.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
52,0.0,,0.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
53,1.0,,7.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
54,0.0,,7.0,,,,,,,,,,0,control_change,127.0,,,,167040,174.0
55,1.0,,10.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
56,0.0,,10.0,,,,,,,,,,0,control_change,64.0,,,,167040,174.0
57,1.0,,93.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
58,0.0,,93.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
59,1.0,,91.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
60,0.0,,91.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
61,1.0,,92.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
62,0.0,,92.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
63,1.0,,95.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
64,0.0,,95.0,,,,,,,,,,0,control_change,0.0,,,,167040,174.0
65,0.0,,,,,,52.0,,,,,,1920,note_on,,76.0,52.0,76.0,168960,176.0
66,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,168960,176.0
67,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,168960,176.0
68,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,169320,176.375
69,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,169320,176.375
70,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,169320,176.375
71,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169440,176.5
72,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169440,176.5
73,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169440,176.5
74,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,169800,176.875
75,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,169800,176.875
76,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,169800,176.875
77,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169920,177.0
78,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169920,177.0
79,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169920,177.0
80,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,170280,177.375
81,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,170280,177.375
82,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,170280,177.375
83,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170400,177.5
84,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170400,177.5
85,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170400,177.5
86,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,170760,177.875
87,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,170760,177.875
88,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,170760,177.875
89,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170880,178.0
90,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170880,178.0
91,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170880,178.0
92,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,171240,178.375
93,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,171240,178.375
94,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,171240,178.375
95,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171360,178.5
96,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171360,178.5
97,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171360,178.5
98,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,171720,178.875
99,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,171720,178.875
100,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,171720,178.875
101,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171840,179.0
102,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171840,179.0
103,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171840,179.0
104,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,172200,179.375
105,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,172200,179.375
106,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,172200,179.375
107,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,172320,179.5
108,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172320,179.5
109,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172320,179.5
110,0.0,,,,,,52.0,,,,,,120,note_off,,80.0,52.0,80.0,172440,179.625
111,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,172440,179.625
112,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,172440,179.625
113,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,172440,179.625
114,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,172440,179.625
115,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,172440,179.625
116,0.0,,,,,,55.0,,,,,,360,note_off,,80.0,55.0,80.0,172800,180.0
117,0.0,,,,,,50.0,,,,,,0,note_off,,80.0,50.0,80.0,172800,180.0
118,0.0,,,,,,43.0,,,,,,0,note_off,,80.0,43.0,80.0,172800,180.0
119,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,172800,180.0
120,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172800,180.0
121,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172800,180.0
122,0.0,,,,,,52.0,,,,,,240,note_off,,80.0,52.0,80.0,173040,180.25
123,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,173040,180.25
124,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,173040,180.25
125,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,173280,180.5
126,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173280,180.5
127,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173280,180.5
128,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,173640,180.875
129,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,173640,180.875
130,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,173640,180.875
131,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,173760,181.0
132,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173760,181.0
133,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173760,181.0
134,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,174120,181.375
135,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,174120,181.375
136,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,174120,181.375
137,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174240,181.5
138,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174240,181.5
139,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174240,181.5
140,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,174600,181.875
141,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,174600,181.875
142,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,174600,181.875
143,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174720,182.0
144,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174720,182.0
145,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174720,182.0
146,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,175080,182.375
147,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,175080,182.375
148,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,175080,182.375
149,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175200,182.5
150,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175200,182.5
151,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175200,182.5
152,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,175560,182.875
153,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,175560,182.875
154,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,175560,182.875
155,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175680,183.0
156,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175680,183.0
157,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175680,183.0
158,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,176040,183.375
159,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,176040,183.375
160,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,176040,183.375
161,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,176160,183.5
162,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176160,183.5
163,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176160,183.5
164,0.0,,,,,,52.0,,,,,,120,note_off,,80.0,52.0,80.0,176280,183.625
165,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,176280,183.625
166,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,176280,183.625
167,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,176280,183.625
168,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,176280,183.625
169,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,176280,183.625
170,0.0,,,,,,55.0,,,,,,360,note_off,,80.0,55.0,80.0,176640,184.0
171,0.0,,,,,,50.0,,,,,,0,note_off,,80.0,50.0,80.0,176640,184.0
172,0.0,,,,,,43.0,,,,,,0,note_off,,80.0,43.0,80.0,176640,184.0
173,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,176640,184.0
174,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176640,184.0
175,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176640,184.0
176,0.0,,,,,,52.0,,,,,,240,note_off,,80.0,52.0,80.0,176880,184.25
177,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,176880,184.25
178,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,176880,184.25
179,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,177120,184.5
180,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177120,184.5
181,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,177120,184.5
182,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,177480,184.875
183,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,177480,184.875
184,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,177480,184.875
185,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,177600,185.0
186,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177600,185.0
187,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,177600,185.0
188,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,177960,185.375
189,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,177960,185.375
190,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,177960,185.375
191,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,178080,185.5
192,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,178080,185.5
193,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,178080,185.5
194,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,178440,185.875
195,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,178440,185.875
196,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,178440,185.875
197,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,178560,186.0
198,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,178560,186.0
199,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,178560,186.0
200,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,178920,186.375
201,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,178920,186.375
202,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,178920,186.375
203,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,179040,186.5
204,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,179040,186.5
205,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,179040,186.5
206,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,179400,186.875
207,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,179400,186.875
208,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,179400,186.875
209,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,179520,187.0
210,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,179520,187.0
211,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,179520,187.0
212,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,179880,187.375
213,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,179880,187.375
214,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,179880,187.375
215,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,180000,187.5
216,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,180000,187.5
217,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,180000,187.5
218,0.0,,,,,,52.0,,,,,,120,note_off,,80.0,52.0,80.0,180120,187.625
219,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,180120,187.625
220,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,180120,187.625
221,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,180120,187.625
222,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,180120,187.625
223,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,180120,187.625
224,0.0,,,,,,55.0,,,,,,360,note_off,,80.0,55.0,80.0,180480,188.0
225,0.0,,,,,,50.0,,,,,,0,note_off,,80.0,50.0,80.0,180480,188.0
226,0.0,,,,,,43.0,,,,,,0,note_off,,80.0,43.0,80.0,180480,188.0
227,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,180480,188.0
228,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,180480,188.0
229,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,180480,188.0
230,0.0,,,,,,52.0,,,,,,240,note_off,,80.0,52.0,80.0,180720,188.25
231,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,180720,188.25
232,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,180720,188.25
233,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,180960,188.5
234,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,180960,188.5
235,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,180960,188.5
236,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,181320,188.875
237,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,181320,188.875
238,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,181320,188.875
239,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,181440,189.0
240,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,181440,189.0
241,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,181440,189.0
242,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,181800,189.375
243,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,181800,189.375
244,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,181800,189.375
245,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,181920,189.5
246,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,181920,189.5
247,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,181920,189.5
248,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,182280,189.875
249,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,182280,189.875
250,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,182280,189.875
251,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,182400,190.0
252,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,182400,190.0
253,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,182400,190.0
254,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,182760,190.375
255,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,182760,190.375
256,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,182760,190.375
257,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,182880,190.5
258,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,182880,190.5
259,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,182880,190.5
260,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,183240,190.875
261,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,183240,190.875
262,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,183240,190.875
263,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,183360,191.0
264,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,183360,191.0
265,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,183360,191.0
266,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,183720,191.375
267,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,183720,191.375
268,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,183720,191.375
269,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,183840,191.5
270,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,183840,191.5
271,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,183840,191.5
272,0.0,,,,,,52.0,,,,,,120,note_off,,80.0,52.0,80.0,183960,191.625
273,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,183960,191.625
274,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,183960,191.625
275,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,183960,191.625
276,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,183960,191.625
277,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,183960,191.625
278,0.0,,,,,,55.0,,,,,,360,note_off,,80.0,55.0,80.0,184320,192.0
279,0.0,,,,,,50.0,,,,,,0,note_off,,80.0,50.0,80.0,184320,192.0
280,0.0,,,,,,43.0,,,,,,0,note_off,,80.0,43.0,80.0,184320,192.0
281,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,184320,192.0
282,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,184320,192.0
283,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,184320,192.0
284,0.0,,,,,,52.0,,,,,,240,note_off,,80.0,52.0,80.0,184560,192.25
285,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,184560,192.25
286,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,184560,192.25
287,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,184800,192.5
288,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,184800,192.5
289,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,184800,192.5
290,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,185160,192.875
291,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,185160,192.875
292,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,185160,192.875
293,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,185280,193.0
294,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,185280,193.0
295,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,185280,193.0
296,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,185640,193.375
297,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,185640,193.375
298,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,185640,193.375
299,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,185760,193.5
300,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,185760,193.5
301,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,185760,193.5
302,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,186120,193.875
303,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,186120,193.875
304,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,186120,193.875
305,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,186240,194.0
306,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,186240,194.0
307,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,186240,194.0
308,0.0,,,,,,52.0,,,,,,360,note_off,,80.0,52.0,80.0,186600,194.375
309,0.0,,,,,,47.0,,,,,,0,note_off,,80.0,47.0,80.0,186600,194.375
310,0.0,,,,,,40.0,,,,,,0,note_off,,80.0,40.0,80.0,186600,194.375
311,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,186720,194.5
