,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds
63,0.0,,,,,,55.0,,,0,note_on,,78.0,55.0,78.0,6145,13.96590909090909
64,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,6376,14.49090909090909
65,0.0,,,,,,62.0,,,25,note_on,,74.0,62.0,74.0,6401,14.547727272727272
66,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,6632,15.072727272727272
67,0.0,,,,,,64.0,,,25,note_on,,81.0,64.0,81.0,6657,15.129545454545454
68,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,6888,15.654545454545454
69,0.0,,,,,,62.0,,,25,note_on,,70.0,62.0,70.0,6913,15.711363636363636
70,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,7119,16.179545454545455
71,0.0,,,,,,62.0,,,25,note_on,,0.0,62.0,0.0,7144,16.236363636363635
72,0.0,,,,,,60.0,,,25,note_on,,73.0,60.0,73.0,7169,16.293181818181818
73,0.0,,,,,,52.0,,,0,note_on,,72.0,52.0,72.0,7169,16.293181818181818
74,0.0,,,,,,60.0,,,974,note_on,,0.0,60.0,0.0,8143,18.50681818181818
75,0.0,,,,,,52.0,,,0,note_on,,0.0,52.0,0.0,8143,18.50681818181818
76,,,,,,,,,,1,end_of_track,,,,,8144,18.509090909090908
