,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
65,0.0,,,,,,52.0,,,,,,1920,note_on,,76.0,52.0,76.0,168960,176.0,4.0,4.0,4,E,120
66,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,168960,176.0,3.0,11.0,5,F,330
67,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,168960,176.0,3.0,4.0,4,E,120
71,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169440,176.5,4.0,4.0,4,E,120
72,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169440,176.5,3.0,11.0,5,F,330
73,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169440,176.5,3.0,4.0,4,E,120
77,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,169920,177.0,4.0,4.0,4,E,120
78,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,169920,177.0,3.0,11.0,5,F,330
79,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,169920,177.0,3.0,4.0,4,E,120
83,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170400,177.5,4.0,4.0,4,E,120
84,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170400,177.5,3.0,11.0,5,F,330
85,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170400,177.5,3.0,4.0,4,E,120
89,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,170880,178.0,4.0,4.0,4,E,120
90,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,170880,178.0,3.0,11.0,5,F,330
91,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,170880,178.0,3.0,4.0,4,E,120
95,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171360,178.5,4.0,4.0,4,E,120
96,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171360,178.5,3.0,11.0,5,F,330
97,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171360,178.5,3.0,4.0,4,E,120
101,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,171840,179.0,4.0,4.0,4,E,120
102,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,171840,179.0,3.0,11.0,5,F,330
103,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,171840,179.0,3.0,4.0,4,E,120
107,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,172320,179.5,4.0,4.0,4,E,120
108,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172320,179.5,3.0,11.0,5,F,330
109,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172320,179.5,3.0,4.0,4,E,120
113,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,172440,179.625,4.0,7.0,1,C#,210
114,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,172440,179.625,4.0,2.0,2,D,60
115,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,172440,179.625,3.0,7.0,1,C#,210
119,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,172800,180.0,4.0,4.0,4,E,120
120,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,172800,180.0,3.0,11.0,5,F,330
121,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,172800,180.0,3.0,4.0,4,E,120
125,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,173280,180.5,4.0,4.0,4,E,120
126,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173280,180.5,3.0,11.0,5,F,330
127,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173280,180.5,3.0,4.0,4,E,120
131,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,173760,181.0,4.0,4.0,4,E,120
132,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,173760,181.0,3.0,11.0,5,F,330
133,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,173760,181.0,3.0,4.0,4,E,120
137,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174240,181.5,4.0,4.0,4,E,120
138,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174240,181.5,3.0,11.0,5,F,330
139,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174240,181.5,3.0,4.0,4,E,120
143,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,174720,182.0,4.0,4.0,4,E,120
144,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,174720,182.0,3.0,11.0,5,F,330
145,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,174720,182.0,3.0,4.0,4,E,120
149,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175200,182.5,4.0,4.0,4,E,120
150,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175200,182.5,3.0,11.0,5,F,330
151,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175200,182.5,3.0,4.0,4,E,120
155,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,175680,183.0,4.0,4.0,4,E,120
156,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,175680,183.0,3.0,11.0,5,F,330
157,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,175680,183.0,3.0,4.0,4,E,120
161,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,176160,183.5,4.0,4.0,4,E,120
162,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176160,183.5,3.0,11.0,5,F,330
163,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176160,183.5,3.0,4.0,4,E,120
167,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,176280,183.625,4.0,7.0,1,C#,210
168,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,176280,183.625,4.0,2.0,2,D,60
169,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,176280,183.625,3.0,7.0,1,C#,210
173,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,176640,184.0,4.0,4.0,4,E,120
174,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,176640,184.0,3.0,11.0,5,F,330
175,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,176640,184.0,3.0,4.0,4,E,120
179,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,177120,184.5,4.0,4.0,4,E,120
180,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177120,184.5,3.0,11.0,5,F,330
181,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,177120,184.5,3.0,4.0,4,E,120
185,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,177600,185.0,4.0,4.0,4,E,120
186,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,177600,185.0,3.0,11.0,5,F,330
187,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,177600,185.0,3.0,4.0,4,E,120
191,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,178080,185.5,4.0,4.0,4,E,120
192,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,178080,185.5,3.0,11.0,5,F,330
193,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,178080,185.5,3.0,4.0,4,E,120
197,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,178560,186.0,4.0,4.0,4,E,120
198,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,178560,186.0,3.0,11.0,5,F,330
199,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,178560,186.0,3.0,4.0,4,E,120
203,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,179040,186.5,4.0,4.0,4,E,120
204,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,179040,186.5,3.0,11.0,5,F,330
205,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,179040,186.5,3.0,4.0,4,E,120
209,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,179520,187.0,4.0,4.0,4,E,120
210,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,179520,187.0,3.0,11.0,5,F,330
211,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,179520,187.0,3.0,4.0,4,E,120
215,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,180000,187.5,4.0,4.0,4,E,120
216,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,180000,187.5,3.0,11.0,5,F,330
217,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,180000,187.5,3.0,4.0,4,E,120
221,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,180120,187.625,4.0,7.0,1,C#,210
222,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,180120,187.625,4.0,2.0,2,D,60
223,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,180120,187.625,3.0,7.0,1,C#,210
227,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,180480,188.0,4.0,4.0,4,E,120
228,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,180480,188.0,3.0,11.0,5,F,330
229,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,180480,188.0,3.0,4.0,4,E,120
233,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,180960,188.5,4.0,4.0,4,E,120
234,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,180960,188.5,3.0,11.0,5,F,330
235,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,180960,188.5,3.0,4.0,4,E,120
239,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,181440,189.0,4.0,4.0,4,E,120
240,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,181440,189.0,3.0,11.0,5,F,330
241,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,181440,189.0,3.0,4.0,4,E,120
245,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,181920,189.5,4.0,4.0,4,E,120
246,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,181920,189.5,3.0,11.0,5,F,330
247,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,181920,189.5,3.0,4.0,4,E,120
251,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,182400,190.0,4.0,4.0,4,E,120
252,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,182400,190.0,3.0,11.0,5,F,330
253,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,182400,190.0,3.0,4.0,4,E,120
257,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,182880,190.5,4.0,4.0,4,E,120
258,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,182880,190.5,3.0,11.0,5,F,330
259,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,182880,190.5,3.0,4.0,4,E,120
263,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,183360,191.0,4.0,4.0,4,E,120
264,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,183360,191.0,3.0,11.0,5,F,330
265,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,183360,191.0,3.0,4.0,4,E,120
269,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,183840,191.5,4.0,4.0,4,E,120
270,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,183840,191.5,3.0,11.0,5,F,330
271,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,183840,191.5,3.0,4.0,4,E,120
275,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,183960,191.625,4.0,7.0,1,C#,210
276,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,183960,191.625,4.0,2.0,2,D,60
277,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,183960,191.625,3.0,7.0,1,C#,210
281,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,184320,192.0,4.0,4.0,4,E,120
282,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,184320,192.0,3.0,11.0,5,F,330
283,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,184320,192.0,3.0,4.0,4,E,120
287,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,184800,192.5,4.0,4.0,4,E,120
288,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,184800,192.5,3.0,11.0,5,F,330
289,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,184800,192.5,3.0,4.0,4,E,120
293,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,185280,193.0,4.0,4.0,4,E,120
294,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,185280,193.0,3.0,11.0,5,F,330
295,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,185280,193.0,3.0,4.0,4,E,120
299,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,185760,193.5,4.0,4.0,4,E,120
300,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,185760,193.5,3.0,11.0,5,F,330
301,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,185760,193.5,3.0,4.0,4,E,120
305,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,186240,194.0,4.0,4.0,4,E,120
306,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,186240,194.0,3.0,11.0,5,F,330
307,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,186240,194.0,3.0,4.0,4,E,120
311,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,186720,194.5,4.0,4.0,4,E,120
312,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,186720,194.5,3.0,11.0,5,F,330
313,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,186720,194.5,3.0,4.0,4,E,120
317,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,187200,195.0,4.0,4.0,4,E,120
318,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,187200,195.0,3.0,11.0,5,F,330
319,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,187200,195.0,3.0,4.0,4,E,120
323,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,187680,195.5,4.0,4.0,4,E,120
324,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,187680,195.5,3.0,11.0,5,F,330
325,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,187680,195.5,3.0,4.0,4,E,120
329,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,187800,195.625,4.0,7.0,1,C#,210
330,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,187800,195.625,4.0,2.0,2,D,60
331,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,187800,195.625,3.0,7.0,1,C#,210
335,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,188160,196.0,4.0,4.0,4,E,120
336,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,188160,196.0,3.0,11.0,5,F,330
337,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,188160,196.0,3.0,4.0,4,E,120
341,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,188640,196.5,4.0,4.0,4,E,120
342,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,188640,196.5,3.0,11.0,5,F,330
343,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,188640,196.5,3.0,4.0,4,E,120
347,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,189120,197.0,4.0,4.0,4,E,120
348,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,189120,197.0,3.0,11.0,5,F,330
349,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,189120,197.0,3.0,4.0,4,E,120
353,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,189600,197.5,4.0,4.0,4,E,120
354,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,189600,197.5,3.0,11.0,5,F,330
355,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,189600,197.5,3.0,4.0,4,E,120
359,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,190080,198.0,4.0,4.0,4,E,120
360,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,190080,198.0,3.0,11.0,5,F,330
361,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,190080,198.0,3.0,4.0,4,E,120
365,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,190560,198.5,4.0,4.0,4,E,120
366,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,190560,198.5,3.0,11.0,5,F,330
367,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,190560,198.5,3.0,4.0,4,E,120
371,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,191040,199.0,4.0,4.0,4,E,120
372,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,191040,199.0,3.0,11.0,5,F,330
373,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,191040,199.0,3.0,4.0,4,E,120
377,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,191520,199.5,4.0,4.0,4,E,120
378,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,191520,199.5,3.0,11.0,5,F,330
379,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,191520,199.5,3.0,4.0,4,E,120
383,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,191640,199.625,4.0,7.0,1,C#,210
384,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,191640,199.625,4.0,2.0,2,D,60
385,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,191640,199.625,3.0,7.0,1,C#,210
389,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,192000,200.0,4.0,4.0,4,E,120
390,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,192000,200.0,3.0,11.0,5,F,330
391,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,192000,200.0,3.0,4.0,4,E,120
395,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,192480,200.5,4.0,4.0,4,E,120
396,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,192480,200.5,3.0,11.0,5,F,330
397,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,192480,200.5,3.0,4.0,4,E,120
401,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,192960,201.0,4.0,4.0,4,E,120
402,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,192960,201.0,3.0,11.0,5,F,330
403,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,192960,201.0,3.0,4.0,4,E,120
407,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,193440,201.5,4.0,4.0,4,E,120
408,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,193440,201.5,3.0,11.0,5,F,330
409,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,193440,201.5,3.0,4.0,4,E,120
413,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,193920,202.0,4.0,4.0,4,E,120
414,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,193920,202.0,3.0,11.0,5,F,330
415,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,193920,202.0,3.0,4.0,4,E,120
419,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,194400,202.5,4.0,4.0,4,E,120
420,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,194400,202.5,3.0,11.0,5,F,330
421,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,194400,202.5,3.0,4.0,4,E,120
425,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,194880,203.0,4.0,4.0,4,E,120
426,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,194880,203.0,3.0,11.0,5,F,330
427,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,194880,203.0,3.0,4.0,4,E,120
431,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,195360,203.5,4.0,4.0,4,E,120
432,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,195360,203.5,3.0,11.0,5,F,330
433,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,195360,203.5,3.0,4.0,4,E,120
437,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,195480,203.625,4.0,7.0,1,C#,210
438,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,195480,203.625,4.0,2.0,2,D,60
439,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,195480,203.625,3.0,7.0,1,C#,210
443,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,195840,204.0,4.0,4.0,4,E,120
444,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,195840,204.0,3.0,11.0,5,F,330
445,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,195840,204.0,3.0,4.0,4,E,120
449,0.0,,,,,,52.0,,,,,,240,note_on,,76.0,52.0,76.0,196320,204.5,4.0,4.0,4,E,120
450,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,196320,204.5,3.0,11.0,5,F,330
451,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,196320,204.5,3.0,4.0,4,E,120
455,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,196800,205.0,4.0,4.0,4,E,120
456,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,196800,205.0,3.0,11.0,5,F,330
457,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,196800,205.0,3.0,4.0,4,E,120
461,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,197280,205.5,4.0,4.0,4,E,120
462,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,197280,205.5,3.0,11.0,5,F,330
463,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,197280,205.5,3.0,4.0,4,E,120
467,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,197760,206.0,4.0,4.0,4,E,120
468,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,197760,206.0,3.0,11.0,5,F,330
469,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,197760,206.0,3.0,4.0,4,E,120
473,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,198240,206.5,4.0,4.0,4,E,120
474,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,198240,206.5,3.0,11.0,5,F,330
475,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,198240,206.5,3.0,4.0,4,E,120
479,0.0,,,,,,52.0,,,,,,120,note_on,,76.0,52.0,76.0,198720,207.0,4.0,4.0,4,E,120
480,0.0,,,,,,47.0,,,,,,0,note_on,,76.0,47.0,76.0,198720,207.0,3.0,11.0,5,F,330
481,0.0,,,,,,40.0,,,,,,0,note_on,,76.0,40.0,76.0,198720,207.0,3.0,4.0,4,E,120
485,0.0,,,,,,52.0,,,,,,120,note_on,,95.0,52.0,95.0,199200,207.5,4.0,4.0,4,E,120
486,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,199200,207.5,3.0,11.0,5,F,330
487,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,199200,207.5,3.0,4.0,4,E,120
491,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,199320,207.625,4.0,7.0,1,C#,210
492,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,199320,207.625,4.0,2.0,2,D,60
493,0.0,,,,,,43.0,,,,,,0,note_on,,95.0,43.0,95.0,199320,207.625,3.0,7.0,1,C#,210
497,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,199680,208.0,4.0,4.0,4,E,120
498,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,199680,208.0,3.0,11.0,5,F,330
499,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,199680,208.0,3.0,4.0,4,E,120
503,1.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,199920,208.25,4.0,7.0,1,C#,210
513,0.0,,,,,,55.0,,,,,,0,note_on,,95.0,55.0,95.0,200160,208.5,4.0,7.0,1,C#,210
515,0.0,,,,,,54.0,,,,,,0,note_on,,95.0,54.0,95.0,200280,208.625,4.0,6.0,6,F#,180
517,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,200400,208.75,4.0,2.0,2,D,60
519,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,200520,208.875,4.0,2.0,2,D,60
521,0.0,,,,,,49.0,,,,,,0,note_on,,95.0,49.0,95.0,200760,209.125,4.0,1.0,7,G,30
523,0.0,,,,,,45.0,,,,,,0,note_on,,95.0,45.0,95.0,200880,209.25,3.0,9.0,3,D#,270
525,0.0,,,,,,52.0,,,,,,0,note_on,,95.0,52.0,95.0,201120,209.5,4.0,4.0,4,E,120
526,0.0,,,,,,47.0,,,,,,0,note_on,,95.0,47.0,95.0,201120,209.5,3.0,11.0,5,F,330
527,0.0,,,,,,40.0,,,,,,0,note_on,,95.0,40.0,95.0,201120,209.5,3.0,4.0,4,E,120
531,0.0,,,,,,55.0,,,,,,100,note_on,,95.0,55.0,95.0,201240,209.625,4.0,7.0,1,C#,210
532,0.0,,,,,,50.0,,,,,,0,note_on,,95.0,50.0,95.0,201240,209.625,4.0,2.0,2,D,60
