,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
1895,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,42912,111.75,4.0,3.0,9,A,90
1898,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,42960,111.875,2.0,11.0,5,F,330
1900,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,43008,112.0,3.0,6.0,6,F#,180
1901,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,43008,112.0,2.0,11.0,5,F,330
1904,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43104,112.25,3.0,6.0,6,F#,180
1905,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,43104,112.25,2.0,11.0,5,F,330
1908,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43200,112.5,3.0,6.0,6,F#,180
1909,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,43200,112.5,2.0,11.0,5,F,330
1910,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,43200,112.5,4.0,3.0,9,A,90
1911,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,43200,112.5,3.0,4.0,4,E,120
1916,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43296,112.75,3.0,6.0,6,F#,180
1918,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43392,113.0,3.0,6.0,6,F#,180
1919,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,43392,113.0,2.0,11.0,5,F,330
1922,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,43488,113.25,2.0,11.0,5,F,330
1923,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,43488,113.25,3.0,6.0,6,F#,180
1926,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43584,113.5,3.0,6.0,6,F#,180
1927,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,43584,113.5,2.0,11.0,5,F,330
1928,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,43584,113.5,3.0,4.0,4,E,120
1929,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,43584,113.5,4.0,3.0,9,A,90
1934,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,43680,113.75,3.0,6.0,6,F#,180
1935,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,43680,113.75,4.0,3.0,9,A,90
1938,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,44256,115.25,3.0,1.0,7,G,30
1940,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,44448,115.75,3.0,1.0,7,G,30
1942,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,45024,117.25,3.0,1.0,7,G,30
1944,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,45216,117.75,3.0,1.0,7,G,30
1946,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,45792,119.25,3.0,1.0,7,G,30
1948,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,45984,119.75,3.0,1.0,7,G,30
1950,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,46560,121.25,3.0,1.0,7,G,30
1952,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,46752,121.75,3.0,1.0,7,G,30
1954,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,47328,123.25,3.0,1.0,7,G,30
1956,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,47520,123.75,3.0,1.0,7,G,30
1958,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,48096,125.25,3.0,1.0,7,G,30
1960,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,48288,125.75,3.0,1.0,7,G,30
1962,9.0,,,,37.0,,,,,532,note_on,,112.0,37.0,112.0,48864,127.25,3.0,1.0,7,G,30
1964,9.0,,,,37.0,,,,,148,note_on,,112.0,37.0,112.0,49056,127.75,3.0,1.0,7,G,30
1966,9.0,,,,40.0,,,,,436,note_on,,112.0,40.0,112.0,49536,129.0,3.0,4.0,4,E,120
1968,9.0,,,,48.0,,,,,4,note_on,,112.0,48.0,112.0,49584,129.125,4.0,0.0,0,C,0
1970,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,49680,129.375,3.0,4.0,4,E,120
1972,9.0,,,,40.0,,,,,4,note_on,,112.0,40.0,112.0,49728,129.5,3.0,4.0,4,E,120
1974,9.0,,,,36.0,,,,,52,note_on,,112.0,36.0,112.0,49824,129.75,3.0,0.0,0,C,0
1976,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,49920,130.0,2.0,11.0,5,F,330
1977,9.0,,,,49.0,,,,,0,note_on,,112.0,49.0,112.0,49920,130.0,4.0,1.0,7,G,30
1978,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,49920,130.0,3.0,6.0,6,F#,180
1982,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,50016,130.25,3.0,6.0,6,F#,180
1983,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50016,130.25,2.0,11.0,5,F,330
1986,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,50112,130.5,4.0,3.0,9,A,90
1987,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50112,130.5,2.0,11.0,5,F,330
1988,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,50112,130.5,3.0,4.0,4,E,120
1989,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50112,130.5,3.0,6.0,6,F#,180
1994,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,50208,130.75,3.0,6.0,6,F#,180
1996,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,50304,131.0,2.0,11.0,5,F,330
1997,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50304,131.0,3.0,6.0,6,F#,180
2000,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,50400,131.25,3.0,6.0,6,F#,180
2001,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50400,131.25,2.0,11.0,5,F,330
2004,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,50496,131.5,3.0,4.0,4,E,120
2005,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,50496,131.5,4.0,3.0,9,A,90
2006,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50496,131.5,3.0,6.0,6,F#,180
2007,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50496,131.5,2.0,11.0,5,F,330
2012,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,50592,131.75,4.0,3.0,9,A,90
2013,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50592,131.75,3.0,6.0,6,F#,180
2016,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,50640,131.875,2.0,11.0,5,F,330
2018,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,50688,132.0,2.0,11.0,5,F,330
2019,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50688,132.0,3.0,6.0,6,F#,180
2022,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,50784,132.25,3.0,6.0,6,F#,180
2023,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50784,132.25,2.0,11.0,5,F,330
2026,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,50880,132.5,4.0,3.0,9,A,90
2027,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,50880,132.5,3.0,6.0,6,F#,180
2028,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,50880,132.5,3.0,4.0,4,E,120
2029,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,50880,132.5,2.0,11.0,5,F,330
2034,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,50976,132.75,3.0,6.0,6,F#,180
2036,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,51072,133.0,2.0,11.0,5,F,330
2037,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51072,133.0,3.0,6.0,6,F#,180
2040,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,51168,133.25,2.0,11.0,5,F,330
2041,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51168,133.25,3.0,6.0,6,F#,180
2044,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,51264,133.5,2.0,11.0,5,F,330
2045,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,51264,133.5,4.0,3.0,9,A,90
2046,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,51264,133.5,3.0,4.0,4,E,120
2047,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51264,133.5,3.0,6.0,6,F#,180
2052,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,51360,133.75,4.0,3.0,9,A,90
2053,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51360,133.75,3.0,6.0,6,F#,180
2056,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,51408,133.875,2.0,11.0,5,F,330
2058,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,51456,134.0,2.0,11.0,5,F,330
2059,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51456,134.0,3.0,6.0,6,F#,180
2062,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,51552,134.25,2.0,11.0,5,F,330
2063,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51552,134.25,3.0,6.0,6,F#,180
2066,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,51648,134.5,3.0,4.0,4,E,120
2067,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51648,134.5,3.0,6.0,6,F#,180
2068,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,51648,134.5,2.0,11.0,5,F,330
2069,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,51648,134.5,4.0,3.0,9,A,90
2074,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,51744,134.75,3.0,6.0,6,F#,180
2076,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,51840,135.0,2.0,11.0,5,F,330
2077,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,51840,135.0,3.0,6.0,6,F#,180
2080,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,51936,135.25,3.0,6.0,6,F#,180
2081,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,51936,135.25,2.0,11.0,5,F,330
2084,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,52032,135.5,2.0,11.0,5,F,330
2085,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,52032,135.5,4.0,3.0,9,A,90
2086,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,52032,135.5,3.0,4.0,4,E,120
2087,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52032,135.5,3.0,6.0,6,F#,180
2092,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,52128,135.75,4.0,3.0,9,A,90
2093,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52128,135.75,3.0,6.0,6,F#,180
2096,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,52176,135.875,2.0,11.0,5,F,330
2098,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,52224,136.0,3.0,6.0,6,F#,180
2099,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,52224,136.0,2.0,11.0,5,F,330
2102,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,52320,136.25,2.0,11.0,5,F,330
2103,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52320,136.25,3.0,6.0,6,F#,180
2106,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,52416,136.5,2.0,11.0,5,F,330
2107,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,52416,136.5,4.0,3.0,9,A,90
2108,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52416,136.5,3.0,6.0,6,F#,180
2109,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,52416,136.5,3.0,4.0,4,E,120
2114,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,52512,136.75,3.0,6.0,6,F#,180
2116,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,52608,137.0,2.0,11.0,5,F,330
2117,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52608,137.0,3.0,6.0,6,F#,180
2120,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,52704,137.25,3.0,6.0,6,F#,180
2121,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,52704,137.25,2.0,11.0,5,F,330
2124,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,52800,137.5,2.0,11.0,5,F,330
2125,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,52800,137.5,4.0,3.0,9,A,90
2126,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,52800,137.5,3.0,4.0,4,E,120
2127,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52800,137.5,3.0,6.0,6,F#,180
2132,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,52896,137.75,4.0,3.0,9,A,90
2133,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,52896,137.75,3.0,6.0,6,F#,180
2136,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,52944,137.875,2.0,11.0,5,F,330
2138,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,52992,138.0,3.0,6.0,6,F#,180
2139,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,52992,138.0,2.0,11.0,5,F,330
2142,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,53088,138.25,2.0,11.0,5,F,330
2143,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53088,138.25,3.0,6.0,6,F#,180
2146,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,53184,138.5,2.0,11.0,5,F,330
2147,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,53184,138.5,3.0,4.0,4,E,120
2148,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,53184,138.5,4.0,3.0,9,A,90
2149,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53184,138.5,3.0,6.0,6,F#,180
2154,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,53280,138.75,3.0,6.0,6,F#,180
2156,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,53376,139.0,3.0,6.0,6,F#,180
2157,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,53376,139.0,2.0,11.0,5,F,330
2160,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,53472,139.25,2.0,11.0,5,F,330
2161,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53472,139.25,3.0,6.0,6,F#,180
2164,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,53568,139.5,3.0,4.0,4,E,120
2165,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,53568,139.5,2.0,11.0,5,F,330
2166,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53568,139.5,3.0,6.0,6,F#,180
2167,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,53568,139.5,4.0,3.0,9,A,90
2172,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,53664,139.75,4.0,3.0,9,A,90
2173,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53664,139.75,3.0,6.0,6,F#,180
2176,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,53712,139.875,2.0,11.0,5,F,330
2178,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,53760,140.0,3.0,6.0,6,F#,180
2179,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,53760,140.0,2.0,11.0,5,F,330
2182,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,53856,140.25,2.0,11.0,5,F,330
2183,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53856,140.25,3.0,6.0,6,F#,180
2186,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,53952,140.5,4.0,3.0,9,A,90
2187,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,53952,140.5,2.0,11.0,5,F,330
2188,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,53952,140.5,3.0,6.0,6,F#,180
2189,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,53952,140.5,3.0,4.0,4,E,120
2194,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,54048,140.75,3.0,6.0,6,F#,180
2196,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,54144,141.0,2.0,11.0,5,F,330
2197,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54144,141.0,3.0,6.0,6,F#,180
2200,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,54240,141.25,3.0,6.0,6,F#,180
2201,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,54240,141.25,2.0,11.0,5,F,330
2204,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,54336,141.5,3.0,6.0,6,F#,180
2205,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,54336,141.5,2.0,11.0,5,F,330
2206,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,54336,141.5,3.0,4.0,4,E,120
2207,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,54336,141.5,4.0,3.0,9,A,90
2212,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,54432,141.75,4.0,3.0,9,A,90
2213,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54432,141.75,3.0,6.0,6,F#,180
2216,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,54480,141.875,2.0,11.0,5,F,330
2218,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,54528,142.0,2.0,11.0,5,F,330
2219,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54528,142.0,3.0,6.0,6,F#,180
2222,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,54624,142.25,2.0,11.0,5,F,330
2223,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54624,142.25,3.0,6.0,6,F#,180
2226,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,54720,142.5,4.0,3.0,9,A,90
2227,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54720,142.5,3.0,6.0,6,F#,180
2228,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,54720,142.5,2.0,11.0,5,F,330
2229,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,54720,142.5,3.0,4.0,4,E,120
2234,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,54816,142.75,3.0,6.0,6,F#,180
2236,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,54912,143.0,2.0,11.0,5,F,330
2237,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,54912,143.0,3.0,6.0,6,F#,180
2240,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,55008,143.25,2.0,11.0,5,F,330
2241,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,55008,143.25,3.0,6.0,6,F#,180
2244,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55104,143.5,3.0,6.0,6,F#,180
2245,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,55104,143.5,3.0,4.0,4,E,120
2246,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,55104,143.5,4.0,3.0,9,A,90
2247,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55104,143.5,2.0,11.0,5,F,330
2252,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55200,143.75,3.0,6.0,6,F#,180
2253,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,55200,143.75,4.0,3.0,9,A,90
2256,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,55248,143.875,2.0,11.0,5,F,330
2258,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,55296,144.0,3.0,6.0,6,F#,180
2259,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55296,144.0,2.0,11.0,5,F,330
2262,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55392,144.25,3.0,6.0,6,F#,180
2263,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55392,144.25,2.0,11.0,5,F,330
2266,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,55488,144.5,3.0,4.0,4,E,120
2267,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,55488,144.5,3.0,6.0,6,F#,180
2268,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,55488,144.5,4.0,3.0,9,A,90
2269,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55488,144.5,2.0,11.0,5,F,330
2274,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55584,144.75,3.0,6.0,6,F#,180
2276,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55680,145.0,3.0,6.0,6,F#,180
2277,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55680,145.0,2.0,11.0,5,F,330
2280,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,55776,145.25,2.0,11.0,5,F,330
2281,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,55776,145.25,3.0,6.0,6,F#,180
2284,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,55872,145.5,3.0,4.0,4,E,120
2285,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,55872,145.5,4.0,3.0,9,A,90
2286,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,55872,145.5,2.0,11.0,5,F,330
2287,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,55872,145.5,3.0,6.0,6,F#,180
2292,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,55968,145.75,3.0,6.0,6,F#,180
2293,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,55968,145.75,4.0,3.0,9,A,90
2296,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,56016,145.875,2.0,11.0,5,F,330
2298,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,56064,146.0,2.0,11.0,5,F,330
2299,9.0,,,,49.0,,,,,0,note_on,,112.0,49.0,112.0,56064,146.0,4.0,1.0,7,G,30
2300,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,56064,146.0,3.0,6.0,6,F#,180
2304,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,56160,146.25,3.0,6.0,6,F#,180
2305,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,56160,146.25,2.0,11.0,5,F,330
2308,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,56256,146.5,3.0,4.0,4,E,120
2309,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,56256,146.5,2.0,11.0,5,F,330
2310,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,56256,146.5,3.0,6.0,6,F#,180
2311,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,56256,146.5,4.0,3.0,9,A,90
2316,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,56352,146.75,3.0,6.0,6,F#,180
2318,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,56448,147.0,3.0,6.0,6,F#,180
2319,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,56448,147.0,2.0,11.0,5,F,330
2322,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,56544,147.25,3.0,6.0,6,F#,180
2323,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,56544,147.25,2.0,11.0,5,F,330
2326,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,56640,147.5,4.0,3.0,9,A,90
2327,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,56640,147.5,3.0,4.0,4,E,120
2328,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,56640,147.5,2.0,11.0,5,F,330
2329,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,56640,147.5,3.0,6.0,6,F#,180
2334,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,56736,147.75,3.0,6.0,6,F#,180
2335,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,56736,147.75,4.0,3.0,9,A,90
2338,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,56784,147.875,2.0,11.0,5,F,330
2340,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,56832,148.0,2.0,11.0,5,F,330
2341,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,56832,148.0,3.0,6.0,6,F#,180
2344,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,56928,148.25,2.0,11.0,5,F,330
2345,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,56928,148.25,3.0,6.0,6,F#,180
2348,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,57024,148.5,4.0,3.0,9,A,90
2349,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,57024,148.5,2.0,11.0,5,F,330
2350,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,57024,148.5,3.0,4.0,4,E,120
2351,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,57024,148.5,3.0,6.0,6,F#,180
2356,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,57120,148.75,3.0,6.0,6,F#,180
2358,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,57216,149.0,3.0,6.0,6,F#,180
2359,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,57216,149.0,2.0,11.0,5,F,330
2362,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,57312,149.25,2.0,11.0,5,F,330
2363,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,57312,149.25,3.0,6.0,6,F#,180
2366,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,57408,149.5,3.0,6.0,6,F#,180
2367,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,57408,149.5,3.0,4.0,4,E,120
2368,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,57408,149.5,4.0,3.0,9,A,90
