,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
136,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6048,15.75,3.0,6.0,6,F#,180
137,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,6048,15.75,4.0,3.0,9,A,90
140,9.0,,,,40.0,,,,,436,note_on,,112.0,40.0,112.0,6528,17.0,3.0,4.0,4,E,120
142,9.0,,,,48.0,,,,,4,note_on,,112.0,48.0,112.0,6576,17.125,4.0,0.0,0,C,0
144,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,6672,17.375,3.0,4.0,4,E,120
146,9.0,,,,40.0,,,,,4,note_on,,112.0,40.0,112.0,6720,17.5,3.0,4.0,4,E,120
148,9.0,,,,36.0,,,,,52,note_on,,112.0,36.0,112.0,6816,17.75,3.0,0.0,0,C,0
150,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6912,18.0,3.0,6.0,6,F#,180
151,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,6912,18.0,2.0,11.0,5,F,330
154,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7008,18.25,3.0,6.0,6,F#,180
156,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,7104,18.5,4.0,3.0,9,A,90
157,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7104,18.5,3.0,6.0,6,F#,180
158,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,7104,18.5,3.0,4.0,4,E,120
162,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7200,18.75,3.0,6.0,6,F#,180
164,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,7296,19.0,2.0,11.0,5,F,330
165,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7296,19.0,3.0,6.0,6,F#,180
168,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7392,19.25,3.0,6.0,6,F#,180
169,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,7392,19.25,2.0,11.0,5,F,330
172,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,7488,19.5,3.0,4.0,4,E,120
173,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7488,19.5,4.0,3.0,9,A,90
174,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7488,19.5,3.0,6.0,6,F#,180
178,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7584,19.75,3.0,6.0,6,F#,180
179,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7584,19.75,4.0,3.0,9,A,90
182,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,7632,19.875,2.0,11.0,5,F,330
184,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,7680,20.0,2.0,11.0,5,F,330
185,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7680,20.0,3.0,6.0,6,F#,180
188,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7776,20.25,3.0,6.0,6,F#,180
190,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,7872,20.5,3.0,4.0,4,E,120
191,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7872,20.5,3.0,6.0,6,F#,180
192,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7872,20.5,4.0,3.0,9,A,90
196,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7968,20.75,3.0,6.0,6,F#,180
198,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8064,21.0,3.0,6.0,6,F#,180
199,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8064,21.0,2.0,11.0,5,F,330
202,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8160,21.25,3.0,6.0,6,F#,180
203,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8160,21.25,2.0,11.0,5,F,330
206,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,8256,21.5,4.0,3.0,9,A,90
207,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,8256,21.5,3.0,4.0,4,E,120
208,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,8256,21.5,3.0,6.0,6,F#,180
212,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8352,21.75,3.0,6.0,6,F#,180
213,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,8352,21.75,4.0,3.0,9,A,90
216,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,8400,21.875,2.0,11.0,5,F,330
218,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,8448,22.0,2.0,11.0,5,F,330
219,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,8448,22.0,3.0,6.0,6,F#,180
222,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8544,22.25,3.0,6.0,6,F#,180
224,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8640,22.5,3.0,6.0,6,F#,180
225,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,8640,22.5,3.0,4.0,4,E,120
226,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,8640,22.5,4.0,3.0,9,A,90
230,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8736,22.75,3.0,6.0,6,F#,180
232,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8832,23.0,3.0,6.0,6,F#,180
233,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8832,23.0,2.0,11.0,5,F,330
236,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8928,23.25,3.0,6.0,6,F#,180
237,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8928,23.25,2.0,11.0,5,F,330
240,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9024,23.5,3.0,6.0,6,F#,180
241,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9024,23.5,4.0,3.0,9,A,90
242,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9024,23.5,3.0,4.0,4,E,120
246,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9120,23.75,3.0,6.0,6,F#,180
247,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9120,23.75,4.0,3.0,9,A,90
250,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9168,23.875,2.0,11.0,5,F,330
252,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9216,24.0,2.0,11.0,5,F,330
253,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9216,24.0,3.0,6.0,6,F#,180
256,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9312,24.25,3.0,6.0,6,F#,180
